routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.10699061652245398,0.20521639573855488,0.01661817897730427
R2: Env -> Scaling -> CNN,0.1859046233878232,0.2959693656155112,0.018720742533462138
R3: Scaling -> Sequencing -> LSTM,0.11410898126845165,0.19643992679520517,0.018472849210952408
R4: Env -> Scaling -> Sequencing -> LSTM,0.14927569578209218,0.2146851033381167,0.006598645906452051
R5: FFT -> Scaling -> CNN,0.13301825957787256,0.22766624992100246,0.062462187683388126
R6: Env -> FFT -> Scaling -> CNN,0.17729915338198762,0.2843388971339273,0.0009291512353243037
R7: FFT -> Scaling -> Resampling -> DNN,0.1135142413520628,0.2545036648661398,0.028109674430284972
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.0895393427918014,0.1777367693134773,0.07264980896489542
R9: ZoomedFFT -> Scaling -> CNN,0.14721697610430215,0.24292530349706193,0.06685522447460124
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.1615076501882473,0.27835590162605367,0.0012104325187498142
R11: ZoomedFFT -> Scaling -> DNN,0.1917667760024736,0.30295613454283726,0.00012506446836056776
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.12462101338828543,0.21536290162538363,0.0029661380308015142
