routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.10639007826821806,0.998741530205628,0.28999010296605376
R2: Env -> Scaling -> CNN,0.18264245141528881,0.9697266563779959,0.262221520555731
R3: Scaling -> Sequencing -> LSTM,0.10093663328977143,0.9132291843723219,0.04581510367484397
R4: Env -> Scaling -> Sequencing -> LSTM,0.16152057762378366,0.8547532239824596,0.07425968581900833
R5: FFT -> Scaling -> CNN,0.14702695811245947,0.9967612501845544,0.19692472028050875
R6: Env -> FFT -> Scaling -> CNN,0.1523663112722131,0.937546258220413,0.14032984550138572
R7: FFT -> Scaling -> Resampling -> DNN,0.10638574971524661,1.0,0.007289937851041503
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.10016563226477972,1.0,0.023775848907327566
R9: ZoomedFFT -> Scaling -> CNN,0.14582883155277315,0.9991335341696509,0.21416189898498528
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.15789939876081685,0.9463626434058888,0.12543531334954758
R11: ZoomedFFT -> Scaling -> DNN,0.20485006338178086,0.978914131900782,0.008424916967192277
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.12074799975072914,0.996448386069309,0.08001625802931531
