routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.11857923326377819,0.5571205265594611,0.027044063169139723
R2: Env -> Scaling -> CNN,0.1978196191957032,0.6172249191343864,0.09666455673749519
R3: Scaling -> Sequencing -> LSTM,0.12149079955698437,0.4418943172474595,0.009205666785367408
R4: Env -> Scaling -> Sequencing -> LSTM,0.1580932716212644,0.39161817358234247,0.0151674753054948
R5: FFT -> Scaling -> CNN,0.13262520664463517,0.5751098671891595,0.06010912487384259
R6: Env -> FFT -> Scaling -> CNN,0.1775454698034174,0.7155246650367786,0.01694974916766445
R7: FFT -> Scaling -> Resampling -> DNN,0.11149622447918574,0.8402188891676279,0.01557074503661124
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.09506033953222141,0.8580332873490402,0.04710591487515531
R9: ZoomedFFT -> Scaling -> CNN,0.14670373727245908,0.5812297780814473,0.047620939459643186
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.1688580612536821,0.6774963714426177,0.025689495846609702
R11: ZoomedFFT -> Scaling -> DNN,0.2043545479416143,0.793993256117741,0.0019345353802762988
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.11959541460592854,0.9164430207801845,0.006585810655261023
