routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.10874401613932043,0.45427481279731724,0.010282766289374887
R2: Env -> Scaling -> CNN,0.18542450348939363,0.5243482926530899,0.052228041373454576
R3: Scaling -> Sequencing -> LSTM,0.13146765682291486,0.2975084272465596,0.013727673257228654
R4: Env -> Scaling -> Sequencing -> LSTM,0.15900304223428913,0.23541121820523792,0.011575439979996084
R5: FFT -> Scaling -> CNN,0.14519463897414267,0.4066749304534254,0.018488373229260727
R6: Env -> FFT -> Scaling -> CNN,0.17550970107820993,0.5500873303614505,0.010143622440442812
R7: FFT -> Scaling -> Resampling -> DNN,0.10621142803607987,0.7675531406018531,5.1371898770393253e-05
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.10713309972679347,0.7788650459042777,0.043326662352796176
R9: ZoomedFFT -> Scaling -> CNN,0.14042852362602612,0.4896035987369367,0.10822678591476326
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.1583142445687995,0.5107702712751152,0.007799946513182561
R11: ZoomedFFT -> Scaling -> DNN,0.20215510788855182,0.7809371592395836,0.003031737540234804
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.1243373477002861,0.8418432561721241,0.026278476103515632
